name|presence|type|cfbRange|madRange|cfbPop|madPop
ActiveTalentTree|CFB|ActiveTalentTree|||00000000000000000000000000000000:19,00100000110101000000000110000001:2|
Age|both|int|[0..127]|[0..127]|num p50=47 max=70 zeros=4/497|num p50=47 max=75 zeros=1/127
AlmaMater|CFB|int|[1100..1300]||num p50=67 max=150 zeros=7/497|
Archetype|MAD|StaffArchetypeEnum||||OffensiveGuru:65,DefensiveGenius:54
AssetName|both|string||||
AwardPoints|both|int|[0..127]|[0..127]|num p50=0 max=0 zeros=497/497|num p50=0 max=0 zeros=127/127
COACH_ADAPTIVE_AI|both|CoachAdaptiveAI|||Balanced_1:84,Balanced:81|Conservative:61,Balanced_1:12
COACH_CONSECTEAMCONTRACTS|both|int|[0..31]|[0..31]|num p50=0 max=0 zeros=497/497|num p50=0 max=0 zeros=127/127
COACH_DB|both|int|[0..127]|[0..127]|num p50=0 max=0 zeros=497/497|num p50=55 max=94 zeros=1/127
COACH_DEFENSE|both|int|[0..127]|[0..127]|num p50=0 max=0 zeros=497/497|num p50=50 max=99 zeros=1/127
COACH_DEFENSETYPE|both|int|[0..127]|[0..127]||
COACH_DEFTENDENCYAGGRESSCONSERV|both|int|[0..127]|[0..127]|num p50=47 max=99 zeros=5/497|num p50=50 max=60 zeros=1/127
COACH_DEFTENDENCYRUNPASS|both|int|[0..127]|[0..127]|num p50=0 max=50 zeros=496/497|num p50=50 max=64 zeros=1/127
COACH_DEMEANOR|both|CoachDemeanor|||Classic:356,Calm:84|Classic:105,Intense:16
COACH_DL|both|int|[0..127]|[0..127]|num p50=0 max=0 zeros=497/497|num p50=55 max=95 zeros=1/127
COACH_FIREREPORTED|both|bool||||
COACH_K|both|int|[0..127]|[0..127]|num p50=0 max=0 zeros=497/497|num p50=50 max=93 zeros=1/127
COACH_LASTCONTRACTTEAM|both|int|[0..1023]|[0..1023]|num p50=0 max=0 zeros=497/497|num p50=0 max=0 zeros=127/127
COACH_LASTTEAMFIRED|both|int|[0..1023]|[0..1023]|num p50=0 max=0 zeros=497/497|num p50=1023 max=1023 zeros=5/127
COACH_LASTTEAMRESIGNED|both|int|[0..1023]|[0..1023]|num p50=0 max=0 zeros=497/497|num p50=1023 max=1023 zeros=1/127
COACH_LB|both|int|[0..127]|[0..127]|num p50=0 max=0 zeros=497/497|num p50=55 max=99 zeros=1/127
COACH_NO_HUDDLE_TEMPO|CFB|CoachNoHuddleTempo|||Balanced:245,Conservative:143|
COACH_OFFENSE|both|int|[0..127]|[0..127]|num p50=0 max=0 zeros=497/497|num p50=50 max=92 zeros=1/127
COACH_OFFTENDENCYAGGRESSCONSERV|both|int|[0..127]|[0..127]|num p50=60 max=100 zeros=4/497|num p50=65 max=99 zeros=1/127
COACH_OFFTENDENCYRUNPASS|both|int|[0..127]|[0..127]|num p50=55 max=72 zeros=68/497|num p50=60 max=71 zeros=1/127
COACH_OL|both|int|[0..127]|[0..127]|num p50=0 max=0 zeros=497/497|num p50=55 max=93 zeros=1/127
COACH_P|both|int|[0..127]|[0..127]|num p50=0 max=0 zeros=497/497|num p50=50 max=95 zeros=1/127
COACH_PERFORMANCELEVEL|both|int|[0..255]|[0..255]|num p50=0 max=0 zeros=497/497|num p50=0 max=180 zeros=126/127
COACH_QB|both|int|[0..127]|[0..127]|num p50=0 max=0 zeros=497/497|num p50=65 max=91 zeros=1/127
COACH_RATING|both|int|[0..127]|[0..100]|num p50=0 max=0 zeros=497/497|num p50=50 max=100 zeros=2/127
COACH_RB|both|int|[0..127]|[0..127]|num p50=0 max=0 zeros=497/497|num p50=55 max=93 zeros=1/127
COACH_RBTENDENCY|both|int|[0..127]|[0..127]|num p50=50 max=50 zeros=226/497|num p50=50 max=95 zeros=1/127
COACH_RESIGNREPORTED|both|bool||||
COACH_RETIREYRSLEFT|both|int|[0..7]|[0..7]|num p50=0 max=0 zeros=497/497|num p50=0 max=0 zeros=127/127
COACH_S|both|int|[0..127]|[0..127]||
COACH_SPECIALTY|both|CoachSpecialty|||Quarterbacks:263,DefensiveLine:87|Quarterbacks:37,Linebackers:20
COACH_STANCE|both|CoachStance|||Classic:404,PlaySheet:62|Classic:104,PlaySheet:18
COACH_WASPLAYER|both|bool|||true:483,false:14|false:123,true:4
COACH_WR|both|int|[0..127]|[0..127]|num p50=0 max=0 zeros=497/497|num p50=60 max=89 zeros=1/127
CareerAssistant|MAD|bool||||false:106,true:21
CareerBigLossMargin|both|int|[0..255]|[0..255]|num p50=0 max=0 zeros=497/497|num p50=0 max=0 zeros=127/127
CareerBigWinMargin|both|int|[0..255]|[0..255]|num p50=0 max=0 zeros=497/497|num p50=0 max=0 zeros=127/127
CareerLongWinStreak|both|int|[0..1023]|[0..1023]|num p50=0 max=15 zeros=350/497|num p50=4 max=10 zeros=23/127
CareerLosses|MAD|int||[0..1023]||num p50=43 max=189 zeros=22/127
CareerPlayoffLosses|MAD|int||[0..255]||num p50=2 max=18 zeros=42/127
CareerPlayoffWins|MAD|int||[0..255]||num p50=1 max=29 zeros=54/127
CareerPlayoffsMade|both|int|[0..63]|[0..63]|num p50=0 max=15 zeros=384/497|num p50=0 max=21 zeros=88/127
CareerPointsAgainst|both|int|[0..65535]|[0..65535]|num p50=0 max=3967 zeros=350/497|num p50=1678 max=2160 zeros=23/127
CareerPointsFor|both|int|[0..65535]|[0..65535]|num p50=0 max=5295 zeros=350/497|num p50=1671 max=2152 zeros=23/127
CareerProBowlPlayers|MAD|int||[0..1023]||num p50=0 max=108 zeros=88/127
CareerStats|CFB|CareerCoachStats||||
CareerSuperbowlLosses|MAD|int||[0..100]||num p50=0 max=3 zeros=107/127
CareerSuperbowlWins|MAD|int||[0..63]||num p50=0 max=3 zeros=104/127
CareerTies|both|int|[0..1023]|[0..1023]|num p50=0 max=0 zeros=497/497|num p50=0 max=7 zeros=112/127
CareerWinSeasons|both|int|[0..127]|[0..127]|num p50=0 max=25 zeros=386/497|num p50=0 max=22 zeros=84/127
CareerWins|MAD|int||[0..1023]||num p50=45 max=464 zeros=22/127
CharacterBodyType|both|CharacterBodyType|||Thin:234,Standard:193|Standard:104,Muscular:11
CharacterVisuals|both|CharacterVisuals||||
CoachBackstory|both|CoachBackstory|||Motivator:496,StaffBuilder:1|Strategist:59,Motivator:44
CoachPoints|CFB|int|[0..4095]||num p50=3 max=28 zeros=174/497|
CoachPrestige|CFB|LetterGrade|||F:154,Aplus:108|
CoachPrestigeScore|CFB|int|[0..10000]||num p50=194 max=10000 zeros=114/497|
ConfPlayoffWinStreak|both|int|[-32..31]|[-32..31]||
ContractExpectationProgress|CFB|ContractExpectations||||
ContractLength|both|int|[0..7]|[0..7]|num p50=3 max=5 zeros=68/497|num p50=3 max=6 zeros=23/127
ContractSalary|both|int|[0..16383]|[0..16383]|num p50=0 max=500 zeros=496/497|num p50=300 max=4000 zeros=23/127
ContractStatus|both|StaffPersonContractStatus|||First_Active:429,FreeAgent:68|Signed:96,FreeAgent:30
ContractYearSummaries|CFB|ContractYearSummary[]||||
ContractYearsRemaining|both|int|[0..31]|[0..31]|num p50=2 max=5 zeros=68/497|num p50=3 max=5 zeros=30/127
